mandate 권한
nerve 신경
candor 정직
dormant 잠재하는
murky 모호한
endemic 타고난
protean 다방면의
assuage 완화시키다
innate 천부적인
spew 방출하다
homogeneous 동종의
altercation 언쟁
alteration 수정
proscribe 금지하다
banish 추방하다
scrupulous 세심한
daring 용감한
enigma 수수께끼
lenient 관대한
arrant 악명높은
curt 짧은
nocuous 유해한
suppress 억압하다
surpassing 뛰어난
gull 속이다
pertain 속하다
bountiful 풍족한
defiant 반항적인
dominian 지배권
lapse 하락
